transaction_id,account_id,description,category,amount,direction,transaction_date,posted_at
95,2,Shop Rent,Rent,14170,outflow,3/18/2020 0:00,3/18/2020 0:00
96,1,Power Bill Payment,Utilities,8458,outflow,3/18/2020 0:00,3/18/2020 0:00
97,1,Driver Salary,Salaries,23460,outflow,3/19/2020 0:00,3/19/2020 0:00
98,3,Sales Revenue,Revenue,80923,inflow,3/20/2020 0:00,3/20/2020 0:00
99,4,Promotional Flyers,Marketing,6857,outflow,3/21/2020 0:00,3/21/2020 0:00
100,3,Contractor Fee,Salaries,21415,outflow,3/21/2020 0:00,3/21/2020 0:00
101,4,Energy Cost,Utilities,13713,outflow,3/21/2020 0:00,3/21/2020 0:00
102,3,Staff Wages,Salaries,16064,outflow,3/22/2020 0:00,3/22/2020 0:00
103,2,Sponsorship Fee,Marketing,7159,outflow,3/22/2020 0:00,3/22/2020 0:00
104,1,Billboard Advertisement,Marketing,31499,outflow,3/22/2020 0:00,3/22/2020 0:00
105,4,Staff Wages,Salaries,58622,outflow,3/23/2020 0:00,3/23/2020 0:00
106,2,Goods Received,Inventory,34965,outflow,3/23/2020 0:00,3/23/2020 0:00
107,1,Heating Bill,Utilities,7879,outflow,3/23/2020 0:00,3/23/2020 0:00
108,2,Retail Inventory,Inventory,39364,outflow,3/23/2020 0:00,3/23/2020 0:00
109,3,Courier Service,Miscellaneous,15282,outflow,3/23/2020 0:00,3/23/2020 0:00
110,2,Mobile Data Plan,Utilities,5768,outflow,3/24/2020 0:00,3/24/2020 0:00
111,1,Supervisor Wages,Salaries,48243,outflow,3/24/2020 0:00,3/24/2020 0:00
112,1,Travel Expenses,Miscellaneous,6699,outflow,3/25/2020 0:00,3/25/2020 0:00
113,3,Showroom Rent,Rent,5666,outflow,3/25/2020 0:00,3/25/2020 0:00
114,1,Water Bill,Utilities,6696,outflow,3/26/2020 0:00,3/26/2020 0:00
115,4,Air Conditioning Cost,Utilities,4770,outflow,3/27/2020 0:00,3/27/2020 0:00
116,4,Energy Cost,Utilities,5500,outflow,3/28/2020 0:00,3/28/2020 0:00
117,4,Admin Staff Salary,Salaries,49157,outflow,3/28/2020 0:00,3/28/2020 0:00
118,1,Retail Space Lease,Rent,20400,outflow,3/28/2020 0:00,3/28/2020 0:00
119,3,Merchandise Purchase,Inventory,52065,outflow,3/29/2020 0:00,3/29/2020 0:00
120,1,Certification Cost,Miscellaneous,24217,outflow,3/30/2020 0:00,3/30/2020 0:00
121,1,Legal Fees,Miscellaneous,16745,outflow,3/30/2020 0:00,3/30/2020 0:00
122,2,Gas Bill,Utilities,1075,outflow,3/30/2020 0:00,3/30/2020 0:00
123,1,Cleaning Supplies,Supplies,7746,outflow,4/1/2020 0:00,4/1/2020 0:00
124,1,Goods Acquisition,Inventory,44791,outflow,4/2/2020 0:00,4/2/2020 0:00
125,1,IT Staff Payment,Salaries,34564,outflow,4/3/2020 0:00,4/3/2020 0:00
126,2,Bulk Product Order,Inventory,29034,outflow,4/4/2020 0:00,4/4/2020 0:00
127,2,Property Lease,Rent,8741,outflow,4/5/2020 0:00,4/5/2020 0:00
128,3,Stock Replenishment,Supplies,49377,outflow,4/5/2020 0:00,4/5/2020 0:00
129,1,Billboard Advertisement,Marketing,33247,outflow,4/5/2020 0:00,4/5/2020 0:00
130,4,Advance Payment,Revenue,53434,inflow,4/5/2020 0:00,4/5/2020 0:00
131,4,Security Services,Miscellaneous,3779,outflow,4/6/2020 0:00,4/6/2020 0:00
132,2,Cleaning Staff Pay,Salaries,14742,outflow,4/8/2020 0:00,4/8/2020 0:00
133,1,Conference Fee,Miscellaneous,25950,outflow,4/8/2020 0:00,4/8/2020 0:00
134,2,Monthly Payroll,Salaries,55508,outflow,4/9/2020 0:00,4/9/2020 0:00
135,1,Commission Earned,Revenue,30675,inflow,4/9/2020 0:00,4/9/2020 0:00
136,4,Supervisor Wages,Salaries,13589,outflow,4/9/2020 0:00,4/9/2020 0:00
137,4,Supplier Payment,Inventory,7970,outflow,4/11/2020 0:00,4/11/2020 0:00
138,1,Stationery Order,Supplies,42254,outflow,4/11/2020 0:00,4/11/2020 0:00
139,2,Supplier Payment,Inventory,53775,outflow,4/11/2020 0:00,4/11/2020 0:00
140,1,Product Sale,Revenue,37765,inflow,4/11/2020 0:00,4/11/2020 0:00
141,2,IT Staff Payment,Salaries,47297,outflow,4/12/2020 0:00,4/12/2020 0:00
142,1,Internet Service,Utilities,5357,outflow,4/12/2020 0:00,4/12/2020 0:00
143,2,Plaza Rent Payment,Rent,14302,outflow,4/13/2020 0:00,4/13/2020 0:00
144,2,Retail Sales,Revenue,31753,inflow,4/13/2020 0:00,4/13/2020 0:00
145,4,Client Invoice Payment,Revenue,55255,inflow,4/14/2020 0:00,4/14/2020 0:00
146,3,Plaza Rent Payment,Rent,15618,outflow,4/14/2020 0:00,4/14/2020 0:00
147,2,Product Stock,Inventory,65437,outflow,4/15/2020 0:00,4/15/2020 0:00
148,1,Power Bill Payment,Utilities,4398,outflow,4/15/2020 0:00,4/15/2020 0:00
149,4,Tax Payment,Miscellaneous,27852,outflow,4/15/2020 0:00,4/15/2020 0:00
150,1,Store Rental Fee,Rent,24888,outflow,4/16/2020 0:00,4/16/2020 0:00
151,4,Courier Service,Miscellaneous,13328,outflow,4/16/2020 0:00,4/16/2020 0:00
152,1,Property Lease,Rent,20583,outflow,4/17/2020 0:00,4/17/2020 0:00
153,2,Banner Design,Marketing,28441,outflow,4/18/2020 0:00,4/18/2020 0:00
154,1,Commercial Space Rent,Rent,22144,outflow,4/18/2020 0:00,4/18/2020 0:00
155,4,Bank Transfer In,Revenue,41213,inflow,4/19/2020 0:00,4/19/2020 0:00
156,1,Vendor Purchase,Inventory,17863,outflow,4/22/2020 0:00,4/22/2020 0:00
157,4,Shipping Cost,Miscellaneous,6018,outflow,4/22/2020 0:00,4/22/2020 0:00
158,1,Customer Payment,Revenue,95491,inflow,4/23/2020 0:00,4/23/2020 0:00
159,2,Product Sale,Revenue,20644,inflow,4/24/2020 0:00,4/24/2020 0:00
160,1,Overtime Pay,Salaries,54523,outflow,4/24/2020 0:00,4/24/2020 0:00
161,3,Certification Cost,Miscellaneous,1346,outflow,4/24/2020 0:00,4/24/2020 0:00
162,4,Merchandise Restock,Supplies,41709,outflow,4/25/2020 0:00,4/25/2020 0:00
163,1,Project Payment,Revenue,76494,inflow,4/26/2020 0:00,4/26/2020 0:00
164,2,Product Stock,Inventory,77003,outflow,4/28/2020 0:00,4/28/2020 0:00
165,1,Retail Inventory,Inventory,30253,outflow,4/29/2020 0:00,4/29/2020 0:00
166,3,Energy Cost,Utilities,1073,outflow,4/29/2020 0:00,4/29/2020 0:00
167,1,Advance Payment,Revenue,57034,inflow,4/30/2020 0:00,4/30/2020 0:00
168,2,Vendor Purchase,Inventory,15285,outflow,5/3/2020 0:00,5/3/2020 0:00
169,3,Medical Supplies,Supplies,32581,outflow,5/3/2020 0:00,5/3/2020 0:00
170,2,Instagram Promotion,Marketing,21050,outflow,5/4/2020 0:00,5/4/2020 0:00
171,3,Equipment Purchase,Supplies,5199,outflow,5/5/2020 0:00,5/5/2020 0:00
172,2,Bonus Payment,Salaries,20806,outflow,5/5/2020 0:00,5/5/2020 0:00
173,1,Facebook Ads,Marketing,9438,outflow,5/6/2020 0:00,5/6/2020 0:00
174,3,Maintenance Supplies,Supplies,37765,outflow,5/7/2020 0:00,5/7/2020 0:00
175,4,Storage Unit Rent,Rent,21423,outflow,5/7/2020 0:00,5/7/2020 0:00
176,2,Parking Space Rental,Rent,18119,outflow,5/7/2020 0:00,5/7/2020 0:00
177,1,PR Services,Marketing,28066,outflow,5/8/2020 0:00,5/8/2020 0:00
178,3,Supplier Payment,Inventory,75123,outflow,5/9/2020 0:00,5/9/2020 0:00
179,2,Stock Purchase,Inventory,62225,outflow,5/10/2020 0:00,5/10/2020 0:00
180,3,Goods Acquisition,Inventory,77555,outflow,5/10/2020 0:00,5/10/2020 0:00
181,3,Driver Salary,Salaries,6651,outflow,5/11/2020 0:00,5/11/2020 0:00
182,1,Billboard Advertisement,Marketing,30195,outflow,5/11/2020 0:00,5/11/2020 0:00
183,2,Consumables,Supplies,45724,outflow,5/11/2020 0:00,5/11/2020 0:00
184,3,Mall Kiosk Rent,Rent,11118,outflow,5/12/2020 0:00,5/12/2020 0:00
185,4,Admin Staff Salary,Salaries,52379,outflow,5/12/2020 0:00,5/12/2020 0:00
186,2,Telephone Bill,Utilities,1020,outflow,5/13/2020 0:00,5/13/2020 0:00
187,1,Inventory Restock,Inventory,24178,outflow,5/14/2020 0:00,5/14/2020 0:00
188,1,Retail Inventory,Inventory,77040,outflow,5/15/2020 0:00,5/15/2020 0:00
189,3,Tax Payment,Miscellaneous,29080,outflow,5/15/2020 0:00,5/15/2020 0:00
190,3,Packaging Materials,Supplies,15152,outflow,5/16/2020 0:00,5/16/2020 0:00
191,4,Monthly Payroll,Salaries,41567,outflow,5/17/2020 0:00,5/17/2020 0:00
192,4,Retail Inventory,Inventory,72348,outflow,5/17/2020 0:00,5/17/2020 0:00
193,2,Mall Kiosk Rent,Rent,5662,outflow,5/17/2020 0:00,5/17/2020 0:00
194,3,Employee Salary,Salaries,18117,outflow,5/17/2020 0:00,5/17/2020 0:00
195,4,Banner Design,Marketing,7878,outflow,5/18/2020 0:00,5/18/2020 0:00
196,1,Cleaning Staff Pay,Salaries,7138,outflow,5/18/2020 0:00,5/18/2020 0:00
197,1,Product Procurement,Inventory,22497,outflow,5/19/2020 0:00,5/19/2020 0:00
198,1,Freelancer Payment,Salaries,18373,outflow,5/19/2020 0:00,5/19/2020 0:00
199,2,Audit Fees,Miscellaneous,15939,outflow,5/21/2020 0:00,5/21/2020 0:00
200,2,Cleaning Staff Pay,Salaries,19912,outflow,5/21/2020 0:00,5/21/2020 0:00
201,2,DSTV Subscription,Utilities,8077,outflow,5/21/2020 0:00,5/21/2020 0:00
202,1,PR Services,Marketing,22985,outflow,5/22/2020 0:00,5/22/2020 0:00
203,2,Overtime Pay,Salaries,50831,outflow,5/23/2020 0:00,5/23/2020 0:00
204,3,Sewage Charges,Utilities,1254,outflow,5/24/2020 0:00,5/24/2020 0:00
205,3,Packaging Materials,Supplies,19826,outflow,5/24/2020 0:00,5/24/2020 0:00
206,3,DSTV Subscription,Utilities,13624,outflow,5/25/2020 0:00,5/25/2020 0:00
207,1,Utility Bills,Utilities,5910,outflow,5/25/2020 0:00,5/25/2020 0:00
208,2,Product Stock,Inventory,36061,outflow,5/25/2020 0:00,5/25/2020 0:00
209,2,Vendor Purchase,Inventory,68082,outflow,5/25/2020 0:00,5/25/2020 0:00
210,3,Co-working Space Fee,Rent,23882,outflow,5/25/2020 0:00,5/25/2020 0:00
211,4,Plaza Rent Payment,Rent,13336,outflow,5/27/2020 0:00,5/27/2020 0:00
212,2,Goods Received,Inventory,37608,outflow,5/28/2020 0:00,5/28/2020 0:00
213,1,Facebook Ads,Marketing,16651,outflow,5/29/2020 0:00,5/29/2020 0:00
214,4,E-commerce Sale,Revenue,20244,inflow,5/30/2020 0:00,5/30/2020 0:00
215,1,Power Bill Payment,Utilities,14445,outflow,6/1/2020 0:00,6/1/2020 0:00
216,3,Retail Space Lease,Rent,14743,outflow,6/1/2020 0:00,6/1/2020 0:00
217,2,Retail Sales,Revenue,12862,inflow,6/3/2020 0:00,6/3/2020 0:00
218,1,Office Supplies,Supplies,19711,outflow,6/3/2020 0:00,6/3/2020 0:00
219,2,License Renewal,Miscellaneous,9889,outflow,6/3/2020 0:00,6/3/2020 0:00
220,3,Staff Wages,Salaries,38461,outflow,6/3/2020 0:00,6/3/2020 0:00
221,3,Vendor Purchase,Inventory,60211,outflow,6/4/2020 0:00,6/4/2020 0:00
222,3,Brand Campaign,Marketing,23802,outflow,6/4/2020 0:00,6/4/2020 0:00
223,4,Air Conditioning Cost,Utilities,7571,outflow,6/5/2020 0:00,6/5/2020 0:00
224,4,Mall Kiosk Rent,Rent,15660,outflow,6/8/2020 0:00,6/8/2020 0:00
225,1,Goods Acquisition,Inventory,71232,outflow,6/9/2020 0:00,6/9/2020 0:00
226,1,Inventory Purchase,Supplies,23223,outflow,6/11/2020 0:00,6/11/2020 0:00
227,2,Cash Sale,Revenue,85112,inflow,6/12/2020 0:00,6/12/2020 0:00
228,4,Print Advertisement,Marketing,37800,outflow,6/14/2020 0:00,6/14/2020 0:00
229,3,Marketing Materials,Marketing,36289,outflow,6/14/2020 0:00,6/14/2020 0:00
230,3,POS Transaction,Revenue,68768,inflow,6/14/2020 0:00,6/14/2020 0:00
231,2,Showroom Rent,Rent,5488,outflow,6/14/2020 0:00,6/14/2020 0:00
232,4,IT Staff Payment,Salaries,36663,outflow,6/15/2020 0:00,6/15/2020 0:00
233,3,Utility Bills,Utilities,3029,outflow,6/15/2020 0:00,6/15/2020 0:00
234,3,Cleaning Staff Pay,Salaries,48919,outflow,6/16/2020 0:00,6/16/2020 0:00
235,3,Wholesale Goods,Inventory,52166,outflow,6/16/2020 0:00,6/16/2020 0:00
236,1,Trade Show Booth,Marketing,17390,outflow,6/18/2020 0:00,6/18/2020 0:00
237,1,Card Payment,Revenue,74119,inflow,6/18/2020 0:00,6/18/2020 0:00
238,4,Parts & Components,Supplies,22019,outflow,6/19/2020 0:00,6/19/2020 0:00
239,2,Legal Fees,Miscellaneous,18741,outflow,6/21/2020 0:00,6/21/2020 0:00
240,3,Electricity Bill,Utilities,13712,outflow,6/21/2020 0:00,6/21/2020 0:00
241,3,Supplier Payment,Inventory,70450,outflow,6/24/2020 0:00,6/24/2020 0:00
242,3,Air Conditioning Cost,Utilities,4293,outflow,6/27/2020 0:00,6/27/2020 0:00
243,2,Product Launch Event,Marketing,37449,outflow,6/27/2020 0:00,6/27/2020 0:00
244,1,Building Maintenance Fee,Utilities,14998,outflow,6/29/2020 0:00,6/29/2020 0:00
245,3,Client Invoice Payment,Revenue,65257,inflow,6/29/2020 0:00,6/29/2020 0:00
246,4,Customer Payment,Revenue,15690,inflow,6/30/2020 0:00,6/30/2020 0:00
247,3,Goods Acquisition,Inventory,36937,outflow,6/30/2020 0:00,6/30/2020 0:00
248,4,Energy Cost,Utilities,14200,outflow,7/1/2020 0:00,7/1/2020 0:00
249,4,Travel Expenses,Miscellaneous,9900,outflow,7/2/2020 0:00,7/2/2020 0:00
250,4,Mall Kiosk Rent,Rent,22707,outflow,7/3/2020 0:00,7/3/2020 0:00
251,4,Courier Service,Miscellaneous,7008,outflow,7/3/2020 0:00,7/3/2020 0:00
252,3,Penalty Fee,Miscellaneous,20980,outflow,7/4/2020 0:00,7/4/2020 0:00
253,3,Store Rental Fee,Rent,17422,outflow,7/4/2020 0:00,7/4/2020 0:00
254,3,Waste Disposal,Utilities,3278,outflow,7/4/2020 0:00,7/4/2020 0:00
255,4,Mall Kiosk Rent,Rent,20212,outflow,7/5/2020 0:00,7/5/2020 0:00
256,2,Commercial Space Rent,Rent,21245,outflow,7/5/2020 0:00,7/5/2020 0:00
257,3,Courier Service,Miscellaneous,12894,outflow,7/5/2020 0:00,7/5/2020 0:00
258,1,Google Ads Campaign,Marketing,9681,outflow,7/6/2020 0:00,7/6/2020 0:00
259,2,Gas Bill,Utilities,8535,outflow,7/7/2020 0:00,7/7/2020 0:00
260,1,Courier Service,Miscellaneous,15935,outflow,7/7/2020 0:00,7/7/2020 0:00
261,4,Shop Rent,Rent,7723,outflow,7/8/2020 0:00,7/8/2020 0:00
262,1,Equipment Repair,Miscellaneous,10503,outflow,7/9/2020 0:00,7/9/2020 0:00
263,2,Overtime Pay,Salaries,58864,outflow,7/9/2020 0:00,7/9/2020 0:00
264,1,Merchandise Restock,Supplies,47963,outflow,7/9/2020 0:00,7/9/2020 0:00
265,2,Facebook Ads,Marketing,2632,outflow,7/10/2020 0:00,7/10/2020 0:00
266,2,Broadband Internet,Utilities,12855,outflow,7/11/2020 0:00,7/11/2020 0:00
267,3,Trade Show Booth,Marketing,4135,outflow,7/12/2020 0:00,7/12/2020 0:00
268,2,Maintenance Supplies,Supplies,28793,outflow,7/13/2020 0:00,7/13/2020 0:00
269,4,Sales Team Salary,Salaries,43394,outflow,7/14/2020 0:00,7/14/2020 0:00
270,2,Stock Purchase,Inventory,79569,outflow,7/14/2020 0:00,7/14/2020 0:00
271,4,Co-working Space Fee,Rent,23805,outflow,7/14/2020 0:00,7/14/2020 0:00
272,4,Wholesale Purchase,Supplies,18273,outflow,7/14/2020 0:00,7/14/2020 0:00
273,3,Parts & Components,Supplies,3873,outflow,7/15/2020 0:00,7/15/2020 0:00
274,1,Admin Staff Salary,Salaries,36602,outflow,7/15/2020 0:00,7/15/2020 0:00
275,1,Showroom Rent,Rent,11827,outflow,7/16/2020 0:00,7/16/2020 0:00
276,1,Promotional Flyers,Marketing,39133,outflow,7/22/2020 0:00,7/22/2020 0:00
277,1,Cash Sale,Revenue,91687,inflow,7/22/2020 0:00,7/22/2020 0:00
278,1,Bulk Product Order,Inventory,40831,outflow,7/22/2020 0:00,7/22/2020 0:00
279,1,Certification Cost,Miscellaneous,15992,outflow,7/23/2020 0:00,7/23/2020 0:00
280,1,Parking Space Rental,Rent,23413,outflow,7/23/2020 0:00,7/23/2020 0:00
281,3,Gas Bill,Utilities,5599,outflow,7/24/2020 0:00,7/24/2020 0:00
282,4,Co-working Space Fee,Rent,11865,outflow,7/25/2020 0:00,7/25/2020 0:00
283,2,Promotional Flyers,Marketing,20577,outflow,7/25/2020 0:00,7/25/2020 0:00
284,1,Security Services,Miscellaneous,17793,outflow,7/25/2020 0:00,7/25/2020 0:00
285,3,Electricity Bill,Utilities,12409,outflow,7/26/2020 0:00,7/26/2020 0:00
286,1,Stock Purchase,Inventory,47921,outflow,7/27/2020 0:00,7/27/2020 0:00
287,2,Consumables,Supplies,42693,outflow,7/28/2020 0:00,7/28/2020 0:00
288,1,Wholesale Order,Revenue,13779,inflow,7/28/2020 0:00,7/28/2020 0:00
289,1,Plaza Rent Payment,Rent,17717,outflow,7/29/2020 0:00,7/29/2020 0:00
290,3,Sewage Charges,Utilities,10945,outflow,7/29/2020 0:00,7/29/2020 0:00
291,3,Supplier Payment,Inventory,68138,outflow,7/29/2020 0:00,7/29/2020 0:00
292,4,Equipment Repair,Miscellaneous,18564,outflow,7/29/2020 0:00,7/29/2020 0:00
293,1,Mall Kiosk Rent,Rent,21334,outflow,7/29/2020 0:00,7/29/2020 0:00
294,4,Client Invoice Payment,Revenue,58760,inflow,7/30/2020 0:00,7/30/2020 0:00
295,1,Courier Service,Miscellaneous,24976,outflow,7/31/2020 0:00,7/31/2020 0:00
296,2,Product Stock,Inventory,8944,outflow,7/31/2020 0:00,7/31/2020 0:00
297,3,Cleaning Supplies,Supplies,45902,outflow,8/1/2020 0:00,8/1/2020 0:00
298,4,Bonus Payment,Salaries,4196,outflow,8/3/2020 0:00,8/3/2020 0:00
299,1,Production Materials,Supplies,43709,outflow,8/3/2020 0:00,8/3/2020 0:00
300,2,Water Bill,Utilities,12971,outflow,8/4/2020 0:00,8/4/2020 0:00
